source,entity_type,entity_value,context,provenance
CTI,comment,"This report describes an extensive malware, phishing, and disinformation campaign active in several Latin American countries, including Ecuador, Argentina, Venezuela, and Brazil. The nature and geographic spread of the targets seems to point to a sponsor, or sponsors, with regional, political interests. The attackers, whom we have named Packrat, have shown a keen and systematic interest in the political opposition and the independent press in so-called ALBA countries (Bolivarian Alternative for the Americas), and their recently allied regimes. These countries are linked by a trade agreement as well as a cooperation on a range of non-financial matters.

After observing a wave of attacks in Ecuador in 2015, we linked these attacks to a campaign active in Argentina in 2014. The targeting in Argentina was discovered when the attackers attempted to compromise the devices of Alberto Nisman and Jorge Lanata.  Building on what we had learned about these two campaigns, we then traced the groupâ€™s activities back as far as 2008.

This report brings together many of the pieces of this campaign, from malware and phishing, to command and control infrastructure spread across Latin America. It also highlights fake online organizations that Packrat has created in Venezuela and Ecuador.  Who is responsible? We assess several scenarios, and consider the most likely to be that Packrat is sponsored by a state actor or actors, given their apparent lack of concern about discovery, their targets, and their persistence.  However, we do not conclusively attribute Packrat to a particular sponsor.",OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,link,https://citizenlab.org/2015/12/packrat-report/,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,dd1101adc86fd282f5f183942cc2f3b7,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,hostname,wjwj.no-ip.org,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,hostname,ruley.no-ip.org,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,hostname,lolinha.no-ip.org,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,2d722592a4e3c8030410dccccb221ce4,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,d2adecc6287dd4d559fe6ce2ce7a7e31,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,93b630891db21a4a2350280a360c713d,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,a73351623577f44a2b578fed1e78e37e,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,5a8975873f52436377d8fb0b5ab0d87a,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,ed8d7ed45b64890b8901b735018318f3,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,c2237e9d415f542ce6e73adb260af123,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,2827450763b55c5e71fda3caaf8e75f9,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,bc97437fec7e7e8634c2eabae3cc4832,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,hostname,taskmgr.serveftp.com,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,d7f34168b1a7dd7cbd8e62a5ab1ebc0e,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,hostname,taskmgr.servehttp.com,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
CTI,md5,6c34d4296126679d9c6a0bc2660dc453,OSINT - Packrat: Seven Years of a South American Threat Actor,CIRCL MISP OSINT
