source,entity_type,entity_value,context,provenance
DARKWEB,thread_id,20707,BEKASI [DATABASE],Zenodo DarkForums Safe Corpus
DARKWEB,title,BEKASI [DATABASE],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20708,BEKASI [DATABASE],Zenodo DarkForums Safe Corpus
DARKWEB,title,BEKASI [DATABASE],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20709,BEKASI [DATABASE],Zenodo DarkForums Safe Corpus
DARKWEB,title,BEKASI [DATABASE],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20719,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20720,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20725,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20728,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20730,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20731,dashboard.mhpolice.in Database complete,Zenodo DarkForums Safe Corpus
DARKWEB,title,dashboard.mhpolice.in Database complete,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20732,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20733,dashboard.mhpolice.in Database Complete,Zenodo DarkForums Safe Corpus
DARKWEB,title,dashboard.mhpolice.in Database Complete,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20734,dashboard.mhpolice.in Database Complete,Zenodo DarkForums Safe Corpus
DARKWEB,title,dashboard.mhpolice.in Database Complete,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20735,dashboard.mhpolice.in Database complete,Zenodo DarkForums Safe Corpus
DARKWEB,title,dashboard.mhpolice.in Database complete,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20622,eazydata.ai Leaked - Download!,Zenodo DarkForums Safe Corpus
DARKWEB,title,eazydata.ai Leaked - Download!,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20623,eazydata.ai Leaked - Download!,Zenodo DarkForums Safe Corpus
DARKWEB,title,eazydata.ai Leaked - Download!,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20624,eazydata.ai Leaked - Download!,Zenodo DarkForums Safe Corpus
DARKWEB,title,eazydata.ai Leaked - Download!,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20892,Tea app leaked database (magnet),Zenodo DarkForums Safe Corpus
DARKWEB,title,Tea app leaked database (magnet),Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20893,Tea app leaked database (magnet),Zenodo DarkForums Safe Corpus
DARKWEB,title,Tea app leaked database (magnet),Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20900,Us 200000 Driver License Available with ssn,Zenodo DarkForums Safe Corpus
DARKWEB,title,Us 200000 Driver License Available with ssn,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20901,Us 200000 Driver License Available with ssn,Zenodo DarkForums Safe Corpus
DARKWEB,title,Us 200000 Driver License Available with ssn,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20910,rapy.pl database,Zenodo DarkForums Safe Corpus
DARKWEB,title,rapy.pl database,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20913,rapy.pl database,Zenodo DarkForums Safe Corpus
DARKWEB,title,rapy.pl database,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20914,rapy.pl database,Zenodo DarkForums Safe Corpus
DARKWEB,title,rapy.pl database,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20915,rapy.pl,Zenodo DarkForums Safe Corpus
DARKWEB,title,rapy.pl,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20918,rapy.pl,Zenodo DarkForums Safe Corpus
DARKWEB,title,rapy.pl,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20675,Database of [NAME],Zenodo DarkForums Safe Corpus
DARKWEB,title,Database of [NAME],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20677,Database of [NAME],Zenodo DarkForums Safe Corpus
DARKWEB,title,Database of [NAME],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20936,[BRAZIL] FEDERATION OF HOLY HOUSES AND PHILANTHROPIC HOSPITALS OF MINAS GERAIS,Zenodo DarkForums Safe Corpus
DARKWEB,title,[BRAZIL] FEDERATION OF HOLY HOUSES AND PHILANTHROPIC HOSPITALS OF MINAS GERAIS,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20954,COMBO & URLS USA EUROPE DATABASES COMBOLISTS MAIL:[EMAIL],Zenodo DarkForums Safe Corpus
DARKWEB,title,COMBO & URLS USA EUROPE DATABASES COMBOLISTS MAIL:[EMAIL],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20699,eazydata.ai Database leaked -Download,Zenodo DarkForums Safe Corpus
DARKWEB,title,eazydata.ai Database leaked -Download,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20704,2.14 MILLION PEKANBARU.GO.ID POPULATION DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,2.14 MILLION PEKANBARU.GO.ID POPULATION DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20705,BEKASI [DATABASE],Zenodo DarkForums Safe Corpus
DARKWEB,title,BEKASI [DATABASE],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20706,BEKASI [DATABASE],Zenodo DarkForums Safe Corpus
DARKWEB,title,BEKASI [DATABASE],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20550,castandcrew.com leak,Zenodo DarkForums Safe Corpus
DARKWEB,title,castandcrew.com leak,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20807,"Hello i think i broke something on my [AUTHOR], and admin can assist me with that plea",Zenodo DarkForums Safe Corpus
DARKWEB,title,"Hello i think i broke something on my [AUTHOR], and admin can assist me with that plea",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20808,"Hello i think i broke something on my [AUTHOR], and admin can assist me with that plea",Zenodo DarkForums Safe Corpus
DARKWEB,title,"Hello i think i broke something on my [AUTHOR], and admin can assist me with that plea",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20572,[NAME]|USA|COMBOLISTS|DATABASES,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME]|USA|COMBOLISTS|DATABASES,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20829,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20830,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20831,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20832,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20834,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20835,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20836,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20837,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20838,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20839,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20840,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20841,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20842,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20843,[NAME] & ORDER DATABASE,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] & ORDER DATABASE,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20620,eazydata.ai Leaked - Download!,Zenodo DarkForums Safe Corpus
DARKWEB,title,eazydata.ai Leaked - Download!,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20621,eazydata.ai Leaked - Download!,Zenodo DarkForums Safe Corpus
DARKWEB,title,eazydata.ai Leaked - Download!,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20770,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20773,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20522,gov.il 4.2 GB of data [NAME],Zenodo DarkForums Safe Corpus
DARKWEB,title,gov.il 4.2 GB of data [NAME],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20523,gov.il 4.2 GB of data [NAME],Zenodo DarkForums Safe Corpus
DARKWEB,title,gov.il 4.2 GB of data [NAME],Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20531,[ADDRESS] / bitbox.swiss / [NAME] / UsersDB / 20k / 2022,Zenodo DarkForums Safe Corpus
DARKWEB,title,[ADDRESS] / bitbox.swiss / [NAME] / UsersDB / 20k / 2022,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20532,[ INDONESIAN ] SILABU-KALIMARAU.COM,Zenodo DarkForums Safe Corpus
DARKWEB,title,[ INDONESIAN ] SILABU-KALIMARAU.COM,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20533,[ INDONESIAN ] SILABU-KALIMARAU.COM,Zenodo DarkForums Safe Corpus
DARKWEB,title,[ INDONESIAN ] SILABU-KALIMARAU.COM,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20534,[ INDONESIA ] SILABU-KALIMARAU.COM,Zenodo DarkForums Safe Corpus
DARKWEB,title,[ INDONESIA ] SILABU-KALIMARAU.COM,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20792,castandcrew.com leak,Zenodo DarkForums Safe Corpus
DARKWEB,title,castandcrew.com leak,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20538,[ADDRESS] / bitbox.swiss / [NAME] / UsersDB / 20k / 2022,Zenodo DarkForums Safe Corpus
DARKWEB,title,[ADDRESS] / bitbox.swiss / [NAME] / UsersDB / 20k / 2022,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20794,"php echo ""Hello"";?",Zenodo DarkForums Safe Corpus
DARKWEB,title,"php echo ""Hello"";?",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20795,"""''>'""<?php echo ""Hello"";?",Zenodo DarkForums Safe Corpus
DARKWEB,title,"""''>'""<?php echo ""Hello"";?",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20796,"[ADDRESS], anyone wants 3k users accounts from this forum with VIP, GOD membership, i hav",Zenodo DarkForums Safe Corpus
DARKWEB,title,"[ADDRESS], anyone wants 3k users accounts from this forum with VIP, GOD membership, i hav",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20799,"Hached Ministry of [AUTHOR], [ADDRESS] and [ADDRESS]",Zenodo DarkForums Safe Corpus
DARKWEB,title,"Hached Ministry of [AUTHOR], [ADDRESS] and [ADDRESS]",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20800,"Hached Ministry of [AUTHOR], [ADDRESS] and [ADDRESS]",Zenodo DarkForums Safe Corpus
DARKWEB,title,"Hached Ministry of [AUTHOR], [ADDRESS] and [ADDRESS]",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20545,castandcrew.com leak,Zenodo DarkForums Safe Corpus
DARKWEB,title,castandcrew.com leak,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20801,"Hached Ministry of [AUTHOR], [ADDRESS] and [ADDRESS]",Zenodo DarkForums Safe Corpus
DARKWEB,title,"Hached Ministry of [AUTHOR], [ADDRESS] and [ADDRESS]",Leaks,Zenodo DarkForums Safe Corpus
